Card 174: 83 64 11 39 24 97 35 54 27 60 | 22 16 31 92 42 94 72 62 58  5 69  8 28 33 89 47 23 52 90 57 68 80  9 96  7
Card 175: 87 10 42 65 40 51 31 45 48 89 | 75 37 60 71 76 92 10 29 14 63 81 34 94 88 32 91  6 82 79 90 53 89 68 49 26
Card 176: 96 83 15 50 17 16 81 85 11 35 | 31 17  8 30 33 47 11 15 41 73 99 40 70 48 91 26 96 60 39 95 52 59 45 23 50
Card 177: 64 51 20 97 68 69 57 58 34 12 | 54 82 32 79 89 70 47 52 16 36 83 10 49  8 18 94 73 77 48 42 19 98 55 75 80
Card 178: 36  1 53 62 73 77 52 59 51  3 | 59 35 68  1 45 77  4 79 83 16 36 63 99 53 52  3 73 51 13 89 84 32 64 33 62
Card 179: 30 70 61  7 29 52 97 81 65 59 | 48  5 42 71 88 89 93 64 37 28 26 25 90 94 92 21 50  6 19 33 68 66 78  1 15
Card 180: 66  3 33 16 57 41 91 83 48 68 | 58 68 33 80 42 13 69 78 16 83 18 41 34 35 79 48 66 62 86 90  2  6 96 57 91
Card 181: 86 94 43 29 75 78 42 95 13 10 | 42 88 43 13 60 52 47 86 87 59 95 72  8 23 82  2 69 61 14 71 94 90 30 85 51
Card 182: 73 90 84 14 52 15 98 43  3 23 | 84  8 11 64 83 62 77 18 53 81 19 47  1 79 99 41 40 74 93 89 20 72 49 26 38
Card 183: 24 78 51 40 92 66 77 39 97 68 | 38 70 63  5 19 21 95 73 64 14 55 80 23 22 77 65 74 97 37 26 82 83  9 52 60
Card 184: 98 12 62 53 69 27 84 64 91 94 | 19  9 90 98 43 26  7 12 68 16 10 45 20 23  4 63  3 38 77  6 27  8 91 70 60
Card 185: 32 37  2 76 75 62 39 33 12 13 | 11 29 49 77 50 97 65 87 25 91 10 21 15 82 95 99 80 71 54 42 48 78 72 63 34
Card 186: 55 49 21 41 83 40 29 51 54 57 | 20 88 52 62 85 90 25 45 54 58 72 91 98 14 13 28 74 92 31  8 42  3 26 11 59
Card 187: 95 43 56 46 98 96 55 31 28 50 | 23  5 13 35 95 37  1 89 76 45 68 73 52 15 26  3 38 36 99 51 80  8 63 77 28
Card 188: 84 71 30 79  6 13 57  3 63 55 | 46 45 43 26 48 47 37 35 88 13 59  9 95 86 49 98 64 62 54 44 22 92 25  3 15
Card 189: 56 94 93 30 27 53 85 58  4 91 | 86 70  1 96 60 92 66 33  9 50 78 41 67 55  7 28 89 31 14 19 76 42 71 82 63
Card 190: 17 27 42 70 11 38 47 58 92 88 | 73 15 86 13 25 64 58  4 61 95 36 41 94 17 72 90 22  6 56 98 35 45 60 19 33
Card 191: 19 96 44 57 88 39  7 67 85 89 | 49 31 15 98 77 14 43 59 85  2 79 71 69 81 95 93 33 66 25 87 65 13 62 46 91
Card 192: 29 77 54 66 79  7 88 72 99 35 | 50 94 48 18 60 56 74 59 97  5 87  8 70 93 81 27 14 57 25 22 71 63 83 44 15
